Name,Headline,Location,Company,Company_Months,Work_Months,Laidoff
Jillian James,Software Engineer ,Nevada,Meta,38,273,False
Daniel Nguyen,Software Engineer ,Arizona,Meta,141,213,False
Samantha Robertson,Project Manager ,Minnesota,Meta,138,341,False
Antonio Hernandez,Data Engineer,Maryland,Meta,134,213,False
Sarah Whitney,Data Analyst,Indiana,Meta,193,337,False
Nicholas Holloway,Program Manager,Iowa,Meta,130,334,False
Heather Saunders,Data Analyst,Vermont,Meta,72,309,False
Edgar Shields,Data Analyst,North Carolina,Meta,135,160,False
Thomas Edwards,Program Manager,Missouri,Meta,179,199,False
Wesley Montgomery,Program Manager,Arizona,Meta,102,354,False
Danielle Jones,Software Engineer ,Alaska,Meta,235,263,False
Cheryl Nelson,Software Engineer ,South Carolina,Meta,158,300,False
Christina Martin,Data Analyst,New Jersey,Meta,51,119,False
Christopher Edwards,3D Artist,North Carolina,Meta,216,312,False
Olivia Gutierrez,Data Engineer,Nevada,Meta,87,228,False
Elaine Ferguson,Data Engineer,Indiana,Meta,234,243,False
Daniel Torres,Product Manager,Colorado,Meta,8,327,True
Linda Meza,Project Manager ,Connecticut,Meta,62,84,False
Shawn Brown,Data Engineer,Wyoming,Meta,58,59,False
Christian Miller,Product Manager,Maine,Meta,129,189,False
Michael Gonzalez,Data Scientist,Kentucky,Meta,210,218,False
William Collins,Software Engineer ,Connecticut,Meta,217,358,False
Andrew Norris,Software Engineer ,Oklahoma,Meta,116,291,False
Susan Kim,3D Artist,Maine,Meta,235,356,False
Chad Foster,3D Artist,Kentucky,Meta,201,231,False
Steven Castro,Machine Learning Engineer,Oklahoma,Meta,72,121,False
William Dalton,Program Manager,Texas,Meta,58,61,False
Tony Murphy,Data Analyst,District of Columbia,Meta,197,221,False
Christopher Kaufman,Data Engineer,Minnesota,Meta,44,120,False
Lydia Roberts,Machine Learning Engineer,Michigan,Meta,27,335,False
Christy Lewis,3D Artist,Massachusetts,Meta,81,190,False
Christopher Mayer,Data Scientist ,District of Columbia,Meta,116,157,False
Alexa Horn,Software Engineer ,Rhode Island,Meta,211,226,False
Jennifer Tran,Associate General Counsel Data Protection,Michigan,Meta,65,261,False
Jack Webb,Data Engineer,Massachusetts,Meta,26,252,False
Deborah Castro,Product Manager,South Carolina,Meta,216,351,False
Jasmine Tanner,Data Engineer,Illinois,Meta,27,180,True
Thomas Molina,Data Scientist,Vermont,Meta,105,127,False
Jared Carpenter,Data Scientist ,Alaska,Meta,10,205,True
Sarah Woods,3D Artist,Delaware,Meta,232,358,False
Kathy Jordan,Project Manager ,Rhode Island,Meta,24,179,True
Taylor Richards,3D Artist,Pennsylvania,Meta,166,223,False
David Willis,Data Engineer,Kansas,Meta,84,250,False
Nicole Burke,Associate General Counsel Data Protection,Maine,Meta,137,169,False
Karen Bauer,Project Manager ,Rhode Island,Meta,163,173,False
Jeffrey Russell,Associate General Counsel Data Protection,Alaska,Meta,24,167,True
Anthony Scott,Product Manager,Hawaii,Meta,88,331,False
Holly Anderson,Product Manager,District of Columbia,Meta,93,167,False
Holly Howell,Product Manager,Oregon,Meta,191,237,False
Darius Woods,Product Manager,Alabama,Meta,161,312,False
David Parker,Data Analyst,Ohio,Meta,184,249,False
Paula Douglas,Associate General Counsel Data Protection,Delaware,Meta,114,191,False
Nicholas Hudson,3D Artist,North Carolina,Meta,4,257,True
James Porter,Data Scientist ,Hawaii,Meta,206,212,False
Michelle Schmidt,Machine Learning Engineer,Pennsylvania,Meta,53,55,False
Mary Sullivan,Data Engineer,Ohio,Meta,77,226,False
Loretta Perez,Data Scientist ,Rhode Island,Meta,204,211,False
Tony Flores,Data Analyst,New Mexico,Meta,78,278,False
Catherine White,Data Engineer,Washington,Meta,76,119,False
Clinton Harrison,Project Manager ,California,Meta,21,51,True
Amber Hoffman,Machine Learning Engineer,Kentucky,Meta,37,300,False
Derek Garza,Product Manager,Montana,Meta,46,103,False
Todd Garcia,3D Artist,Virginia,Meta,211,307,False
Julie Barrett,Software Engineer ,New Jersey,Meta,14,24,True
George Spencer,Data Scientist ,Hawaii,Meta,24,176,True
Joseph Sampson,Product Manager,Illinois,Meta,203,351,False
Erica Schaefer,Data Scientist ,Maryland,Meta,161,301,False
Patricia Anderson,Program Manager,Kentucky,Meta,194,288,False
Danielle Garcia,Project Manager ,Oregon,Meta,61,213,False
Robin Conner,Associate General Counsel Data Protection,Arizona,Meta,83,213,False
Kimberly Peck,Associate General Counsel Data Protection,Idaho,Meta,237,329,False
Christopher Burke,Data Scientist,West Virginia,Meta,104,202,False
Susan Butler,Data Scientist,Rhode Island,Meta,11,193,True
Scott Williams PhD,Data Engineer,Vermont,Meta,97,295,False
William Shaw,Program Manager,Arkansas,Meta,195,266,False
Terri Ward,Software Engineer ,Colorado,Meta,232,280,False
Jennifer Faulkner,Program Manager,Texas,Meta,55,70,False
Nicole Roy,Data Scientist ,Rhode Island,Meta,134,279,False
Kimberly Sullivan,Project Manager ,Minnesota,Meta,171,191,False
Jessica Mills,Associate General Counsel Data Protection,Iowa,Meta,119,295,False
Jeanette Thomas,Machine Learning Engineer,Kentucky,Meta,23,137,True
Cameron Sherman,Machine Learning Engineer,Wisconsin,Meta,98,279,False
Carla Small,Software Engineer ,District of Columbia,Meta,85,95,False
Dorothy Ferguson,Software Engineer ,Iowa,Meta,97,280,False
Christopher Mendez,Data Scientist,Minnesota,Meta,62,118,False
Christopher Jordan,Associate General Counsel Data Protection,Michigan,Meta,218,314,False
Randy Bailey,Associate General Counsel Data Protection,Missouri,Meta,212,237,False
Misty Ellis,3D Artist,Kentucky,Meta,143,284,False
Cheryl Gilbert,Machine Learning Engineer,Louisiana,Meta,213,329,False
Bobby Ellis,Data Scientist ,Georgia,Meta,44,178,False
Ruth Smith,Project Manager ,Alaska,Meta,206,349,False
Shannon Dunn,Software Engineer ,Kansas,Meta,25,162,True
Rodney Jackson,3D Artist,Indiana,Meta,195,248,False
Steven Choi,Machine Learning Engineer,West Virginia,Meta,70,318,False
Roberto Williamson,Machine Learning Engineer,Mississippi,Meta,22,318,False
Kim Kelley,Machine Learning Engineer,Virginia,Meta,78,297,False
Jason Long,Program Manager,North Dakota,Meta,178,291,False
Sharon Ramirez,Data Analyst,Mississippi,Meta,48,93,False
Johnny Silva,Data Analyst,Delaware,Meta,88,232,False
Joseph Wu,Data Analyst,Montana,Meta,157,202,False
Carlos Vargas,Associate General Counsel Data Protection,Louisiana,Meta,196,312,False
Traci Curry,3D Artist,Tennessee,Meta,67,130,False
Sheila Suarez,Data Engineer,Nevada,Meta,76,111,False
Ariana Sanchez,Project Manager ,Washington,Meta,182,215,False
Nicholas Brady,Product Manager,District of Columbia,Meta,131,343,False
Mary Hall,Data Analyst,Alabama,Meta,84,132,False
Matthew Gibbs,Software Engineer ,Minnesota,Meta,55,343,False
Mrs. Lindsey Herrera,Software Engineer ,Maine,Meta,157,212,False
Justin Griffin,Data Engineer,New Hampshire,Meta,211,242,False
April Richard,Program Manager,Pennsylvania,Meta,29,251,False
Michelle Keller,Product Manager,Illinois,Meta,75,211,False
Michelle Martinez,Program Manager,Louisiana,Meta,110,209,False
Loretta Wang,Machine Learning Engineer,Hawaii,Meta,33,41,True
Dr. Joshua Collins,Data Engineer,Delaware,Meta,85,135,False
Jose Contreras,Software Engineer ,Illinois,Meta,80,249,False
Anita Bonilla,Machine Learning Engineer,New Jersey,Meta,65,173,False
Cynthia Barnett,3D Artist,Massachusetts,Meta,212,236,False
Deborah Morrison,Associate General Counsel Data Protection,Maine,Meta,114,348,False
Anthony Allen,Machine Learning Engineer,Wisconsin,Meta,21,65,True
Jeanne Preston,Data Scientist ,Arizona,Meta,16,174,True
Nicholas Durham,3D Artist,South Dakota,Meta,220,239,False
David Martinez,Associate General Counsel Data Protection,Alabama,Meta,155,241,False
Richard Mccarty,Data Engineer,Georgia,Meta,136,189,False
Adam Lambert,3D Artist,Iowa,Meta,176,286,False
Bruce Martin,Data Engineer,Georgia,Meta,189,223,False
Andrea Thornton,Data Engineer,Texas,Meta,101,329,False
Trevor Carter,Data Analyst,Vermont,Meta,33,313,False
Michael Gomez,Machine Learning Engineer,North Carolina,Meta,212,306,False
Rebecca Bradley,Data Scientist ,Washington,Meta,167,342,False
Shelby Butler,Software Engineer ,Pennsylvania,Meta,232,237,False
David Johnston,3D Artist,New York,Meta,80,143,False
Donald Vaughan,Software Engineer ,Rhode Island,Meta,114,201,False
Katrina Robbins,Machine Learning Engineer,Arkansas,Meta,161,203,False
Cory Crane,3D Artist,Washington,Meta,203,348,False
Kevin Norton,Data Analyst,New Mexico,Meta,69,257,False
Katherine Thomas,Data Analyst,Delaware,Meta,207,352,False
Victoria Anderson,Machine Learning Engineer,New Hampshire,Meta,168,331,False
Kathy Cline,Data Engineer,Washington,Meta,210,248,False
Kathleen Johnson,Associate General Counsel Data Protection,Nevada,Meta,170,240,False
Kristopher Howell,Data Scientist ,Michigan,Meta,154,202,False
Veronica Valdez,3D Artist,Hawaii,Meta,179,223,False
Kevin Ryan,Product Manager,Rhode Island,Meta,106,288,False
Miss Courtney Brown,Associate General Counsel Data Protection,Alaska,Meta,1,343,True
Cynthia Guzman,Program Manager,Idaho,Meta,17,292,True
Leslie Baker,Software Engineer ,Arkansas,Meta,10,122,True
Michelle Torres,Product Manager,Idaho,Meta,221,272,False
Sarah Aguilar,Data Engineer,Idaho,Meta,112,250,False
Gina Young,Associate General Counsel Data Protection,District of Columbia,Meta,124,192,False
Kathryn Nelson,Product Manager,Michigan,Meta,152,166,False
Maria Bell,3D Artist,Michigan,Meta,192,213,False
Samantha Doyle MD,Product Manager,Indiana,Meta,175,299,False
Mike Harris,Data Analyst,Ohio,Meta,132,316,False
Nancy Perkins,3D Artist,Oklahoma,Meta,89,297,False
Taylor Garcia,Program Manager,Alabama,Meta,175,229,False
Jennifer Duncan,Machine Learning Engineer,New Mexico,Meta,208,279,False
Keith Garcia,Project Manager ,Virginia,Meta,15,220,True
Gabriela Nolan,Data Analyst,Wyoming,Meta,144,297,False
Ronald Saunders,Associate General Counsel Data Protection,Washington,Meta,54,266,False
Gary Orr,Data Scientist ,Rhode Island,Meta,187,301,False
Matthew White,Data Analyst,Arizona,Meta,239,268,False
David Parker,Program Manager,New York,Meta,45,82,True
Joseph Johnson,Project Manager ,Rhode Island,Meta,151,333,False
Mario Marsh,Product Manager,New Mexico,Meta,77,89,False
Joshua Harper,Product Manager,Minnesota,Meta,121,180,False
Derrick Foster,Software Engineer ,North Dakota,Meta,155,359,False
Colleen Powers,Data Analyst,Texas,Meta,200,325,False
Stefanie Williams,Project Manager ,Washington,Meta,44,338,False
Thomas Walker,Data Scientist ,New Hampshire,Meta,92,204,False
Doris Reilly,Data Analyst,Arkansas,Meta,70,296,False
Courtney Reed,Data Scientist ,Texas,Meta,162,333,False
Carrie Sullivan,Data Engineer,Wisconsin,Meta,155,339,False
Veronica Stevens,Product Manager,West Virginia,Meta,198,271,False
Michael Wilson,Project Manager ,Illinois,Meta,53,142,False
Lynn Robbins,3D Artist,Oregon,Meta,28,71,True
William Chavez,Data Analyst,Michigan,Meta,2,340,True
Michael Mitchell,Product Manager,Mississippi,Meta,128,222,False
